,hmid,predicted_category
12061,100457,affection
12062,100458,affection
12063,100459,affection
12064,100460,achievement
12065,100461,affection
12066,100462,achievement
12067,100463,affection
12068,100464,affection
12069,100465,affection
12070,100466,affection
12071,100467,affection
12072,100468,affection
12073,100469,affection
12074,100470,achievement
12075,100471,achievement
12076,100472,affection
12077,100473,affection
12078,100474,affection
12079,100475,affection
12080,100476,affection
12081,100477,affection
12082,100478,achievement
12083,100479,achievement
12084,100480,affection
12085,100481,affection
12086,100482,affection
12087,100483,achievement
12088,100484,achievement
12089,100485,affection
12090,100486,achievement
12091,100487,affection
12092,100488,achievement
12093,100489,affection
12094,100490,affection
12095,100491,achievement
12096,100492,affection
12097,100493,affection
12098,100494,affection
12099,100495,affection
12100,100496,achievement
12101,100497,affection
12102,100498,achievement
12103,100499,affection
12104,100500,affection
12105,100501,achievement
12106,100502,affection
12107,100503,affection
12108,100504,affection
12109,100505,achievement
12110,100506,achievement
12111,100507,achievement
12112,100508,affection
12113,100509,affection
12114,100510,affection
12115,100511,affection
12116,100512,affection
12117,100513,affection
12118,100514,achievement
12119,100515,affection
12120,100516,affection
12121,100517,affection
12122,100518,affection
12123,100519,achievement
12124,100520,affection
12125,100521,achievement
12126,100522,affection
12127,100523,affection
12128,100524,affection
12129,100525,affection
12130,100526,affection
12131,100527,achievement
12132,100528,affection
12133,100529,affection
12134,100530,affection
12135,100531,affection
12136,100532,affection
12137,100533,affection
12138,100534,achievement
12139,100535,achievement
12140,100536,affection
12141,100537,affection
12142,100538,achievement
12143,100539,affection
12144,100540,affection
12145,100541,affection
12146,100542,achievement
12147,100543,achievement
12148,100544,achievement
12149,100545,affection
12150,100546,affection
12151,100547,achievement
12152,100548,affection
12153,100549,achievement
12154,100550,achievement
12155,100551,affection
12156,100552,affection
12157,100553,achievement
12158,100554,affection
12159,100555,affection
12160,100556,affection
12161,100557,affection
12162,100558,affection
12163,100559,affection
12164,100560,achievement
12165,100561,affection
12166,100562,bonding
12167,100563,affection
12168,100564,affection
12169,100565,affection
12170,100566,affection
12171,100567,achievement
12172,100568,affection
12173,100569,affection
12174,100570,affection
12175,100571,achievement
12176,100572,affection
12177,100573,affection
12178,100574,affection
12179,100575,achievement
12180,100576,affection
12181,100577,affection
12182,100578,affection
12183,100579,affection
12184,100580,affection
12185,100581,achievement
12186,100582,affection
12187,100583,achievement
12188,100584,affection
12189,100585,achievement
12190,100586,achievement
12191,100587,affection
12192,100588,affection
12193,100589,affection
12194,100590,achievement
12195,100591,achievement
12196,100592,affection
12197,100593,achievement
12198,100594,achievement
12199,100595,achievement
12200,100596,affection
12201,100597,achievement
12202,100598,achievement
12203,100599,affection
12204,100600,achievement
12205,100601,achievement
12206,100602,achievement
12207,100603,affection
12208,100604,affection
12209,100605,achievement
12210,100606,affection
12211,100607,affection
12212,100608,achievement
12213,100609,achievement
12214,100610,affection
12215,100611,affection
12216,100612,achievement
12217,100613,affection
12218,100614,affection
12219,100615,affection
12220,100616,affection
12221,100617,affection
12222,100618,affection
12223,100619,achievement
12224,100620,affection
12225,100621,affection
12226,100622,affection
12227,100623,affection
12228,100624,affection
12229,100625,affection
12230,100626,affection
12231,100627,achievement
12232,100628,affection
12233,100629,achievement
12234,100630,affection
12235,100631,achievement
12236,100632,affection
12237,100633,achievement
12238,100634,affection
12239,100635,affection
12240,100636,affection
12241,100637,affection
12242,100638,achievement
12243,100639,achievement
12244,100640,achievement
12245,100641,affection
12246,100642,affection
12247,100643,achievement
12248,100644,affection
12249,100645,affection
12250,100646,affection
12251,100647,affection
12252,100648,affection
12253,100649,achievement
12254,100650,affection
12255,100651,achievement
12256,100652,achievement
12257,100653,affection
12258,100654,affection
12259,100655,achievement
12260,100656,achievement
12261,100657,affection
12262,100658,affection
12263,100659,achievement
12264,100660,affection
12265,100661,achievement
12266,100662,achievement
12267,100663,affection
12268,100664,affection
12269,100665,affection
12270,100666,affection
12271,100667,achievement
12272,100668,achievement
12273,100669,affection
12274,100670,affection
12275,100671,affection
12276,100672,affection
12277,100673,affection
12278,100674,affection
12279,100675,affection
12280,100676,achievement
12281,100677,affection
12282,100678,affection
12283,100679,affection
12284,100680,affection
12285,100681,achievement
12286,100682,affection
12287,100683,affection
12288,100684,achievement
12289,100685,affection
12290,100686,affection
12291,100687,affection
12292,100688,affection
12293,100689,achievement
12294,100690,achievement
12295,100691,affection
12296,100692,achievement
12297,100693,affection
12298,100694,affection
12299,100695,affection
12300,100696,affection
12301,100697,affection
12302,100698,affection
12303,100699,affection
12304,100700,affection
12305,100701,affection
12306,100702,affection
12307,100703,affection
12308,100704,affection
12309,100705,affection
12310,100706,affection
12311,100707,achievement
12312,100708,achievement
12313,100709,affection
12314,100710,achievement
12315,100711,achievement
12316,100712,affection
12317,100713,affection
12318,100714,affection
12319,100715,affection
12320,100716,achievement
12321,100717,affection
12322,100718,achievement
12323,100719,affection
12324,100720,affection
12325,100721,affection
12326,100722,affection
12327,100723,achievement
12328,100725,affection
12329,100726,affection
12330,100727,affection
12331,100728,achievement
12332,100729,achievement
12333,100730,affection
12334,100731,achievement
12335,100732,affection
12336,100733,achievement
12337,100734,affection
12338,100735,achievement
12339,100736,achievement
12340,100737,affection
12341,100738,affection
12342,100739,affection
12343,100740,achievement
12344,100741,achievement
12345,100742,affection
12346,100743,affection
12347,100744,affection
12348,100745,affection
12349,100746,affection
12350,100747,affection
12351,100748,achievement
12352,100749,affection
12353,100750,affection
12354,100751,achievement
12355,100752,affection
12356,100753,affection
12357,100754,achievement
12358,100755,affection
12359,100756,affection
12360,100757,affection
12361,100758,affection
12362,100759,affection
12363,100760,affection
12364,100761,affection
12365,100762,affection
12366,100763,achievement
12367,100764,affection
12368,100765,achievement
12369,100766,achievement
12370,100767,achievement
12371,100768,achievement
12372,100769,affection
12373,100770,achievement
12374,100771,affection
12375,100772,affection
12376,100773,affection
12377,100774,affection
12378,100775,affection
12379,100776,achievement
12380,100777,achievement
12381,100778,affection
12382,100779,achievement
12383,100780,affection
12384,100781,affection
12385,100782,affection
12386,100783,achievement
12387,100784,affection
12388,100785,affection
12389,100786,achievement
12390,100787,affection
12391,100788,affection
12392,100789,affection
12393,100790,affection
12394,100791,affection
12395,100792,affection
12396,100793,achievement
12397,100794,achievement
12398,100795,affection
12399,100796,achievement
12400,100797,affection
12401,100798,affection
12402,100799,achievement
12403,100800,affection
12404,100801,affection
12405,100802,affection
12406,100803,affection
12407,100804,affection
12408,100805,affection
12409,100806,affection
12410,100807,affection
12411,100808,affection
12412,100809,achievement
12413,100810,affection
12414,100811,affection
12415,100812,affection
12416,100813,achievement
12417,100814,affection
12418,100815,achievement
12419,100816,affection
12420,100817,achievement
12421,100818,affection
12422,100819,affection
12423,100820,achievement
12424,100821,achievement
12425,100822,affection
12426,100823,affection
12427,100824,achievement
12428,100825,affection
12429,100826,achievement
12430,100827,achievement
12431,100828,affection
12432,100829,affection
12433,100830,affection
12434,100831,affection
12435,100832,achievement
12436,100833,affection
12437,100834,achievement
12438,100835,affection
12439,100836,affection
12440,100837,affection
12441,100838,affection
12442,100839,affection
12443,100840,affection
12444,100841,affection
12445,100842,affection
12446,100843,affection
12447,100844,bonding
12448,100845,affection
12449,100846,affection
12450,100847,affection
12451,100848,affection
12452,100849,achievement
12453,100850,affection
12454,100851,achievement
12455,100852,achievement
12456,100853,affection
12457,100854,affection
12458,100855,achievement
12459,100856,achievement
12460,100857,achievement
12461,100858,affection
12462,100859,achievement
12463,100860,affection
12464,100861,affection
12465,100862,affection
12466,100863,affection
12467,100864,affection
12468,100865,affection
12469,100867,affection
12470,100868,achievement
12471,100869,affection
12472,100870,affection
12473,100871,affection
12474,100872,affection
12475,100873,affection
12476,100874,achievement
12477,100875,affection
12478,100876,achievement
12479,100877,achievement
12480,100878,affection
12481,100879,affection
12482,100880,affection
12483,100881,achievement
12484,100882,affection
12485,100883,affection
12486,100884,affection
12487,100885,affection
12488,100886,affection
12489,100887,affection
12490,100888,achievement
12491,100889,achievement
12492,100890,achievement
12493,100891,affection
12494,100892,affection
12495,100893,affection
12496,100894,affection
12497,100895,achievement
12498,100896,affection
12499,100897,affection
12500,100898,affection
12501,100899,affection
12502,100900,affection
12503,100901,affection
12504,100902,affection
12505,100903,affection
12506,100904,achievement
12507,100905,affection
12508,100906,affection
12509,100907,affection
12510,100908,affection
12511,100909,affection
12512,100910,affection
12513,100911,achievement
12514,100912,affection
12515,100913,affection
12516,100914,affection
12517,100915,affection
12518,100916,affection
12519,100917,affection
12520,100918,affection
12521,100919,affection
12522,100920,achievement
12523,100921,achievement
12524,100922,affection
12525,100923,affection
12526,100924,affection
12527,100925,affection
12528,100926,affection
12529,100927,affection
12530,100928,affection
12531,100929,achievement
12532,100930,affection
12533,100931,affection
12534,100932,affection
12535,100933,affection
12536,100934,affection
12537,100935,affection
12538,100936,affection
12539,100937,affection
12540,100938,affection
12541,100939,achievement
12542,100940,affection
12543,100941,affection
12544,100942,affection
12545,100943,achievement
12546,100944,affection
12547,100945,affection
12548,100946,affection
12549,100947,affection
12550,100948,achievement
12551,100949,achievement
12552,100950,affection
12553,100951,affection
12554,100952,affection
12555,100953,affection
12556,100954,affection
12557,100955,affection
12558,100956,affection
12559,100957,affection
12560,100958,affection
12561,100959,achievement
12562,100960,affection
12563,100961,affection
12564,100962,achievement
12565,100963,achievement
12566,100964,affection
12567,100965,affection
12568,100966,affection
12569,100967,affection
12570,100968,affection
12571,100969,affection
12572,100970,achievement
12573,100971,affection
12574,100972,achievement
12575,100973,achievement
12576,100974,affection
12577,100975,affection
12578,100976,affection
12579,100977,affection
12580,100978,affection
12581,100979,affection
12582,100980,affection
12583,100981,affection
12584,100982,affection
12585,100983,affection
12586,100984,achievement
12587,100985,achievement
12588,100986,affection
12589,100987,affection
12590,100988,achievement
12591,100989,affection
12592,100990,affection
12593,100991,affection
12594,100992,affection
12595,100993,affection
12596,100994,affection
12597,100995,affection
12598,100996,affection
12599,100997,affection
12600,100998,affection
12601,100999,achievement
12602,101000,affection
12603,101001,achievement
12604,101002,achievement
12605,101003,affection
12606,101004,affection
12607,101005,affection
12608,101006,achievement
12609,101007,achievement
12610,101008,affection
12611,101009,affection
12612,101010,affection
12613,101011,achievement
12614,101012,affection
12615,101013,achievement
12616,101014,achievement
12617,101015,affection
12618,101016,affection
12619,101017,affection
12620,101018,affection
12621,101019,achievement
12622,101020,affection
12623,101021,affection
12624,101022,affection
12625,101023,affection
12626,101024,affection
12627,101025,affection
12628,101026,bonding
12629,101027,affection
12630,101028,affection
12631,101029,achievement
12632,101030,affection
12633,101031,affection
12634,101032,achievement
12635,101033,affection
12636,101034,achievement
12637,101035,affection
12638,101036,affection
12639,101037,achievement
12640,101038,affection
12641,101039,affection
12642,101040,affection
12643,101041,affection
12644,101042,affection
12645,101043,affection
12646,101044,affection
12647,101045,affection
12648,101046,affection
12649,101047,affection
12650,101048,affection
12651,101049,affection
12652,101050,affection
12653,101051,affection
12654,101052,affection
12655,101053,affection
12656,101054,affection
12657,101055,affection
12658,101056,affection
12659,101057,affection
12660,101058,affection
12661,101059,affection
12662,101060,achievement
12663,101061,affection
12664,101062,achievement
12665,101063,affection
12666,101064,affection
12667,101065,affection
12668,101066,affection
12669,101067,affection
12670,101068,affection
12671,101069,affection
12672,101070,achievement
12673,101071,affection
12674,101072,affection
12675,101073,affection
12676,101074,affection
12677,101075,affection
12678,101076,achievement
12679,101077,affection
12680,101078,affection
12681,101079,affection
12682,101080,affection
12683,101081,affection
12684,101082,achievement
12685,101083,achievement
12686,101084,affection
12687,101085,affection
12688,101086,affection
12689,101087,achievement
12690,101088,affection
12691,101089,achievement
12692,101090,affection
12693,101091,affection
12694,101092,affection
12695,101093,affection
12696,101094,affection
12697,101095,affection
12698,101096,affection
12699,101097,achievement
12700,101098,affection
12701,101099,achievement
12702,101100,affection
12703,101101,achievement
12704,101102,affection
12705,101103,achievement
12706,101104,affection
12707,101105,affection
12708,101106,affection
12709,101107,affection
12710,101108,affection
12711,101109,affection
12712,101110,affection
12713,101111,achievement
12714,101112,affection
12715,101113,affection
12716,101114,affection
12717,101115,affection
12718,101116,achievement
12719,101117,achievement
12720,101118,achievement
12721,101119,affection
12722,101120,affection
12723,101121,affection
12724,101122,affection
12725,101123,affection
12726,101124,affection
12727,101125,achievement
12728,101126,affection
12729,101127,affection
12730,101128,affection
12731,101129,achievement
12732,101130,affection
12733,101131,achievement
12734,101132,affection
12735,101133,affection
12736,101134,achievement
12737,101135,achievement
12738,101136,affection
12739,101137,affection
12740,101138,affection
12741,101139,affection
12742,101140,affection
12743,101141,affection
12744,101142,affection
12745,101143,affection
12746,101144,affection
12747,101145,affection
12748,101146,affection
12749,101147,affection
12750,101148,affection
12751,101149,affection
12752,101150,affection
12753,101151,affection
12754,101152,affection
12755,101153,achievement
12756,101154,achievement
12757,101155,affection
12758,101156,affection
12759,101157,achievement
12760,101158,affection
12761,101159,affection
12762,101160,affection
12763,101161,affection
12764,101162,affection
12765,101163,affection
12766,101164,affection
12767,101165,affection
12768,101166,affection
12769,101167,affection
12770,101168,affection
12771,101169,affection
12772,101170,affection
12773,101171,affection
12774,101172,achievement
12775,101173,affection
12776,101174,affection
12777,101175,affection
12778,101176,affection
12779,101177,affection
12780,101178,affection
12781,101179,bonding
12782,101180,affection
12783,101181,affection
12784,101182,affection
12785,101183,achievement
12786,101184,affection
12787,101185,affection
12788,101186,achievement
12789,101187,affection
12790,101188,affection
12791,101189,affection
12792,101190,affection
12793,101191,affection
12794,101192,achievement
12795,101193,achievement
12796,101194,affection
12797,101195,achievement
12798,101196,affection
12799,101197,affection
12800,101198,affection
12801,101199,affection
12802,101200,affection
12803,101201,affection
12804,101202,affection
12805,101203,affection
12806,101204,affection
12807,101205,achievement
12808,101206,affection
12809,101207,affection
12810,101208,affection
12811,101209,affection
12812,101210,affection
12813,101211,affection
12814,101212,affection
12815,101213,affection
12816,101214,affection
12817,101216,affection
12818,101217,affection
12819,101218,affection
12820,101219,achievement
12821,101220,affection
12822,101221,affection
12823,101222,affection
12824,101223,affection
12825,101224,achievement
12826,101225,achievement
12827,101226,affection
12828,101227,affection
12829,101228,affection
12830,101229,affection
12831,101230,affection
12832,101231,affection
12833,101232,affection
12834,101233,affection
12835,101234,achievement
12836,101235,achievement
12837,101236,affection
12838,101237,affection
12839,101238,affection
12840,101239,achievement
12841,101240,affection
12842,101241,affection
12843,101242,affection
12844,101243,achievement
12845,101244,affection
12846,101245,achievement
12847,101246,achievement
12848,101247,affection
12849,101248,affection
12850,101249,affection
12851,101250,achievement
12852,101251,affection
12853,101252,achievement
12854,101253,affection
12855,101254,affection
12856,101255,affection
12857,101256,affection
12858,101257,affection
12859,101258,affection
12860,101259,affection
12861,101260,affection
12862,101261,affection
12863,101262,affection
12864,101263,affection
12865,101264,bonding
12866,101265,affection
12867,101266,affection
12868,101267,affection
12869,101268,affection
12870,101269,affection
12871,101270,affection
12872,101271,affection
12873,101272,affection
12874,101273,achievement
12875,101274,achievement
12876,101275,affection
12877,101276,affection
12878,101277,affection
12879,101278,affection
12880,101279,affection
12881,101280,achievement
12882,101281,achievement
12883,101282,affection
12884,101283,affection
12885,101284,affection
12886,101285,affection
12887,101286,affection
12888,101287,affection
12889,101288,affection
12890,101289,affection
12891,101290,achievement
12892,101291,affection
12893,101292,affection
12894,101293,affection
12895,101294,affection
12896,101295,affection
12897,101296,achievement
12898,101297,affection
12899,101298,affection
12900,101299,affection
12901,101300,achievement
12902,101301,affection
12903,101302,affection
12904,101303,affection
12905,101304,affection
12906,101305,affection
12907,101306,affection
12908,101307,affection
12909,101308,affection
12910,101309,affection
12911,101310,affection
12912,101311,achievement
12913,101312,affection
12914,101313,achievement
12915,101314,affection
12916,101315,affection
12917,101316,affection
12918,101317,affection
12919,101318,achievement
12920,101319,achievement
12921,101320,affection
12922,101321,affection
12923,101322,affection
12924,101323,affection
12925,101324,affection
12926,101325,achievement
12927,101327,achievement
12928,101328,affection
12929,101329,affection
12930,101330,achievement
12931,101331,affection
12932,101332,achievement
12933,101333,affection
12934,101334,achievement
12935,101335,achievement
12936,101336,achievement
12937,101337,achievement
12938,101338,achievement
12939,101339,achievement
12940,101340,affection
12941,101341,affection
12942,101342,affection
12943,101343,achievement
12944,101344,affection
12945,101345,affection
12946,101346,achievement
12947,101347,achievement
12948,101348,affection
12949,101349,achievement
12950,101350,affection
12951,101351,affection
12952,101352,affection
12953,101353,achievement
12954,101354,affection
12955,101355,affection
12956,101356,affection
12957,101357,achievement
12958,101358,achievement
12959,101359,affection
12960,101360,affection
12961,101361,affection
12962,101362,affection
12963,101363,affection
12964,101364,affection
12965,101365,affection
12966,101366,affection
12967,101367,affection
12968,101368,affection
12969,101369,affection
12970,101370,affection
12971,101371,affection
12972,101372,affection
12973,101373,achievement
12974,101374,achievement
12975,101375,achievement
12976,101376,achievement
12977,101377,affection
12978,101378,affection
12979,101379,affection
12980,101380,affection
12981,101381,affection
12982,101382,affection
12983,101383,affection
12984,101384,affection
12985,101385,affection
12986,101386,affection
12987,101387,affection
12988,101388,affection
12989,101389,affection
12990,101390,achievement
12991,101391,affection
12992,101392,affection
12993,101393,affection
12994,101394,affection
12995,101395,achievement
12996,101396,affection
12997,101397,affection
12998,101398,affection
12999,101399,affection
13000,101400,achievement
13001,101401,achievement
13002,101402,achievement
13003,101403,affection
13004,101404,affection
13005,101405,affection
13006,101406,affection
13007,101407,achievement
13008,101408,affection
13009,101409,affection
13010,101410,achievement
13011,101411,achievement
13012,101413,achievement
13013,101414,affection
13014,101415,affection
13015,101416,affection
13016,101417,affection
13017,101418,achievement
13018,101419,affection
13019,101420,achievement
13020,101421,affection
13021,101422,achievement
13022,101423,affection
13023,101424,achievement
13024,101425,achievement
13025,101426,affection
13026,101427,affection
13027,101428,achievement
13028,101429,achievement
13029,101430,affection
13030,101431,affection
13031,101432,achievement
13032,101433,affection
13033,101434,affection
13034,101435,affection
13035,101436,affection
13036,101437,affection
13037,101438,affection
13038,101439,achievement
13039,101440,affection
13040,101441,affection
13041,101442,affection
13042,101443,affection
13043,101444,achievement
13044,101445,affection
13045,101446,affection
13046,101447,affection
13047,101448,affection
13048,101449,affection
13049,101450,affection
13050,101451,affection
13051,101452,achievement
13052,101453,affection
13053,101454,achievement
13054,101455,affection
13055,101456,affection
13056,101457,affection
13057,101458,achievement
13058,101459,affection
13059,101460,affection
13060,101461,affection
13061,101462,affection
13062,101463,achievement
13063,101464,affection
13064,101465,affection
13065,101466,achievement
13066,101467,affection
13067,101468,affection
13068,101469,achievement
13069,101470,affection
13070,101471,affection
13071,101472,achievement
13072,101473,achievement
13073,101474,affection
13074,101475,affection
13075,101476,achievement
13076,101477,affection
13077,101478,affection
13078,101479,affection
13079,101480,affection
13080,101481,achievement
13081,101482,affection
13082,101483,achievement
13083,101484,achievement
13084,101485,affection
13085,101486,affection
13086,101487,affection
13087,101488,affection
13088,101489,achievement
13089,101490,achievement
13090,101491,affection
13091,101492,achievement
13092,101493,affection
13093,101494,achievement
13094,101495,affection
13095,101496,achievement
13096,101497,affection
13097,101498,achievement
13098,101499,affection
13099,101500,affection
13100,101501,achievement
13101,101502,affection
13102,101503,achievement
13103,101504,achievement
13104,101505,affection
13105,101506,affection
13106,101507,affection
13107,101508,affection
13108,101509,affection
13109,101510,affection
13110,101511,affection
13111,101512,affection
13112,101513,affection
13113,101514,achievement
13114,101515,affection
13115,101516,affection
13116,101517,affection
13117,101518,affection
13118,101519,achievement
13119,101520,affection
13120,101521,affection
13121,101522,affection
13122,101523,affection
13123,101524,achievement
13124,101525,affection
13125,101526,affection
13126,101527,affection
13127,101528,achievement
13128,101529,affection
13129,101530,affection
13130,101531,affection
13131,101532,affection
13132,101533,affection
13133,101534,affection
13134,101535,achievement
13135,101536,achievement
13136,101537,affection
13137,101538,affection
13138,101539,affection
13139,101540,affection
13140,101541,affection
13141,101542,affection
13142,101543,achievement
13143,101544,affection
13144,101545,affection
13145,101546,affection
13146,101547,achievement
13147,101548,affection
13148,101549,affection
13149,101550,affection
13150,101551,affection
13151,101552,affection
13152,101553,achievement
13153,101554,affection
13154,101555,affection
13155,101556,affection
13156,101557,achievement
13157,101558,affection
13158,101559,affection
13159,101560,affection
13160,101561,affection
13161,101562,achievement
13162,101563,achievement
13163,101564,affection
13164,101565,affection
13165,101566,affection
13166,101567,achievement
13167,101568,achievement
13168,101569,affection
13169,101570,affection
13170,101571,affection
13171,101572,affection
13172,101573,affection
13173,101574,affection
13174,101575,achievement
13175,101576,affection
13176,101577,affection
13177,101578,achievement
13178,101579,affection
13179,101580,achievement
13180,101581,affection
13181,101582,affection
13182,101583,affection
13183,101584,achievement
13184,101585,achievement
13185,101586,achievement
13186,101587,affection
13187,101588,affection
13188,101589,affection
13189,101590,affection
13190,101591,affection
13191,101592,affection
13192,101593,affection
13193,101594,achievement
13194,101595,affection
13195,101596,affection
13196,101597,achievement
13197,101598,affection
13198,101599,achievement
13199,101600,achievement
13200,101601,affection
13201,101602,affection
13202,101603,achievement
13203,101604,affection
13204,101605,affection
13205,101606,affection
13206,101607,achievement
13207,101608,affection
13208,101609,achievement
13209,101610,affection
13210,101611,affection
13211,101612,achievement
13212,101613,affection
13213,101614,achievement
13214,101615,achievement
13215,101616,achievement
13216,101617,achievement
13217,101618,achievement
13218,101619,achievement
13219,101620,achievement
13220,101621,affection
13221,101622,affection
13222,101623,affection
13223,101624,affection
13224,101625,affection
13225,101626,affection
13226,101627,affection
13227,101628,affection
13228,101629,affection
13229,101630,affection
13230,101631,affection
13231,101632,affection
13232,101633,affection
13233,101634,achievement
13234,101635,achievement
13235,101636,bonding
13236,101637,affection
13237,101638,affection
13238,101639,affection
13239,101640,achievement
13240,101641,affection
13241,101642,affection
13242,101643,affection
13243,101644,affection
13244,101645,affection
13245,101646,achievement
13246,101647,affection
13247,101648,affection
13248,101649,affection
13249,101650,affection
13250,101651,affection
13251,101652,affection
13252,101653,affection
13253,101654,affection
13254,101655,affection
13255,101656,achievement
13256,101657,achievement
13257,101658,achievement
13258,101659,affection
13259,101660,affection
13260,101661,affection
13261,101662,achievement
13262,101663,affection
13263,101664,affection
13264,101665,affection
13265,101666,affection
13266,101667,achievement
13267,101668,affection
13268,101669,achievement
13269,101670,achievement
13270,101671,affection
13271,101672,affection
13272,101673,affection
13273,101674,affection
13274,101675,affection
13275,101676,affection
13276,101677,affection
13277,101678,affection
13278,101679,affection
13279,101680,affection
13280,101681,affection
13281,101682,affection
13282,101683,achievement
13283,101684,achievement
13284,101685,affection
13285,101686,achievement
13286,101687,achievement
13287,101688,achievement
13288,101689,affection
13289,101690,achievement
13290,101691,affection
13291,101692,affection
13292,101693,affection
13293,101694,achievement
13294,101695,affection
13295,101696,achievement
13296,101697,affection
13297,101698,affection
13298,101699,affection
13299,101700,affection
13300,101701,affection
13301,101702,affection
13302,101703,affection
13303,101704,affection
13304,101705,affection
13305,101706,affection
13306,101707,affection
13307,101708,affection
13308,101709,affection
13309,101710,achievement
13310,101711,affection
13311,101712,affection
13312,101713,achievement
13313,101714,affection
13314,101715,affection
13315,101716,affection
13316,101717,achievement
13317,101718,achievement
13318,101719,affection
13319,101720,affection
13320,101721,affection
13321,101722,achievement
13322,101723,affection
13323,101724,affection
13324,101725,affection
13325,101726,affection
13326,101727,achievement
13327,101728,affection
13328,101729,affection
13329,101730,affection
13330,101731,affection
13331,101732,affection
13332,101733,achievement
13333,101734,affection
13334,101735,achievement
13335,101736,achievement
13336,101737,affection
13337,101738,affection
13338,101739,affection
13339,101740,achievement
13340,101741,affection
13341,101742,affection
13342,101743,affection
13343,101744,achievement
13344,101745,affection
13345,101746,affection
13346,101747,affection
13347,101748,affection
13348,101749,affection
13349,101750,affection
13350,101751,achievement
13351,101752,achievement
13352,101753,affection
13353,101754,affection
13354,101755,affection
13355,101756,affection
13356,101757,affection
13357,101758,affection
13358,101759,affection
13359,101760,affection
13360,101761,achievement
13361,101762,affection
13362,101763,affection
13363,101764,affection
13364,101765,achievement
13365,101766,achievement
13366,101767,achievement
13367,101768,affection
13368,101769,achievement
13369,101770,affection
13370,101771,affection
13371,101772,affection
13372,101773,affection
13373,101774,affection
13374,101775,affection
13375,101776,achievement
13376,101777,affection
13377,101778,affection
13378,101779,affection
13379,101780,affection
13380,101781,affection
13381,101782,affection
13382,101783,affection
13383,101784,affection
13384,101785,achievement
13385,101786,affection
13386,101787,affection
13387,101788,affection
13388,101789,affection
13389,101790,affection
13390,101791,achievement
13391,101792,affection
13392,101793,achievement
13393,101794,affection
13394,101795,affection
13395,101796,affection
13396,101797,affection
13397,101798,affection
13398,101799,affection
13399,101800,affection
13400,101801,achievement
13401,101802,affection
13402,101803,affection
13403,101804,affection
13404,101805,affection
13405,101806,achievement
13406,101807,affection
13407,101808,affection
13408,101809,achievement
13409,101810,achievement
13410,101811,achievement
13411,101812,achievement
13412,101813,affection
13413,101814,affection
13414,101815,achievement
13415,101816,affection
13416,101817,achievement
13417,101818,affection
13418,101819,affection
13419,101820,achievement
13420,101821,affection
13421,101822,achievement
13422,101823,affection
13423,101824,achievement
13424,101825,affection
13425,101826,affection
13426,101827,affection
13427,101828,affection
13428,101829,affection
13429,101830,affection
13430,101831,affection
13431,101832,affection
13432,101833,achievement
13433,101834,achievement
13434,101835,achievement
13435,101836,affection
13436,101837,achievement
13437,101838,affection
13438,101839,affection
13439,101840,affection
13440,101841,affection
13441,101842,achievement
13442,101843,affection
13443,101844,affection
13444,101845,affection
13445,101846,achievement
13446,101847,affection
13447,101848,achievement
13448,101849,achievement
13449,101850,affection
13450,101851,achievement
13451,101852,affection
13452,101853,affection
13453,101854,affection
13454,101855,achievement
13455,101856,achievement
13456,101857,achievement
13457,101858,achievement
13458,101859,affection
13459,101860,affection
13460,101861,affection
13461,101862,affection
13462,101863,affection
13463,101864,affection
13464,101865,affection
13465,101867,affection
13466,101868,affection
13467,101869,achievement
13468,101870,affection
13469,101871,affection
13470,101872,affection
13471,101873,affection
13472,101874,achievement
13473,101875,achievement
13474,101876,affection
13475,101877,affection
13476,101878,affection
13477,101879,affection
13478,101880,affection
13479,101881,achievement
13480,101882,affection
13481,101883,achievement
13482,101884,achievement
13483,101885,affection
13484,101886,achievement
13485,101887,affection
13486,101888,achievement
13487,101889,affection
13488,101890,achievement
13489,101891,affection
13490,101892,affection
13491,101893,affection
13492,101894,affection
13493,101895,achievement
13494,101896,affection
13495,101897,affection
13496,101898,affection
13497,101899,affection
13498,101900,affection
13499,101901,affection
13500,101902,affection
13501,101903,affection
13502,101904,achievement
13503,101905,affection
13504,101906,affection
13505,101907,affection
13506,101908,affection
13507,101909,affection
13508,101910,affection
13509,101911,affection
13510,101912,affection
13511,101913,affection
13512,101914,affection
13513,101915,affection
13514,101916,affection
13515,101917,achievement
13516,101918,affection
13517,101919,affection
13518,101920,affection
13519,101921,affection
13520,101922,affection
13521,101923,affection
13522,101924,affection
13523,101925,affection
13524,101926,affection
13525,101927,affection
13526,101928,achievement
13527,101929,affection
13528,101930,achievement
13529,101931,achievement
13530,101932,affection
13531,101933,affection
13532,101934,affection
13533,101935,achievement
13534,101936,achievement
13535,101937,affection
13536,101938,affection
13537,101939,achievement
13538,101940,affection
13539,101941,affection
13540,101942,affection
13541,101943,affection
13542,101944,affection
13543,101945,affection
13544,101946,affection
13545,101947,achievement
13546,101948,affection
13547,101949,affection
13548,101950,affection
13549,101951,achievement
13550,101952,affection
13551,101953,affection
13552,101954,affection
13553,101955,affection
13554,101956,affection
13555,101957,affection
13556,101958,affection
13557,101959,affection
13558,101960,affection
13559,101961,affection
13560,101962,achievement
13561,101963,affection
13562,101964,achievement
13563,101965,affection
13564,101966,affection
13565,101967,affection
13566,101968,affection
13567,101969,affection
13568,101970,affection
